CommunityName,DataProvider,SiteName,Latitude,Longitude,Elevation,MonitorID,ParameterCode,ParameterName,DateTime,MeasuredValue,Units,MeasuremnetTechniqueCode,MeasurementTechniqueDescription ,SamplingDuration,SamplingFrequency ,SamplingFrequencyUnits
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/17/2019 23:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 0:00,2,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 1:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 2:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 3:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 4:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 5:00,1,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 6:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 7:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 8:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 9:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 10:00,13,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 11:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 12:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 13:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 14:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 15:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 16:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 17:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 18:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 19:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 20:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 21:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 22:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/18/2019 23:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 0:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 1:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 2:00,-1,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 3:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 4:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 5:00,-1,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 6:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 7:00,1,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 8:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 9:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 10:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 11:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 12:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 13:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 14:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 15:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 16:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 17:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 18:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 19:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 20:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 21:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 22:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/19/2019 23:00,0,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 0:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 1:00,0,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 2:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 3:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 4:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 5:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 6:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 7:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 8:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 9:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 10:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 11:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 12:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 13:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 14:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 15:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 16:00,-1,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 17:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 18:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 19:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 20:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 21:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 22:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/20/2019 23:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 0:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 1:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 2:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 3:00,3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 4:00,1,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 5:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 6:00,-3,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 7:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 8:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 9:00,13,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 10:00,16,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 11:00,11,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 12:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 13:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 14:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 15:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 16:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 17:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 18:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 19:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 20:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 21:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 22:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/21/2019 23:00,14,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 0:00,14,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 1:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 2:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 3:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 4:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 5:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 6:00,2,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 7:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 8:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 9:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 10:00,12,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 11:00,11,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 12:00,12,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 13:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 14:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 15:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 16:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 17:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 18:00,2,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 19:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 20:00,17,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 21:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 22:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/22/2019 23:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 0:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 1:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 2:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 3:00,11,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 4:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 5:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 6:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 7:00,15,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 8:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 9:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 10:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 11:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 12:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 13:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 14:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 15:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 16:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 17:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 18:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 19:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 20:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 21:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 22:00,11,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,9/23/2019 23:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
